candidate_key,folds,chosen_folds,score_name,primary_col,confirm_preset,filter_preset,barrier,take_profit_mult,stop_loss_mult,max_holding_bars,avg_monthly_return_mean,avg_monthly_return_median,worst_monthly_return_min,max_drawdown_min,profit_factor_mean,positive_month_rate_mean,avg_trades_per_month_mean,robust_score_mean,constraints_ok_rate,monthly_balance_ok_rate,approved_candidate
rank_wfo_no4h|sem_confirmacao|volume_muito_leve|tp2.2_sl1.2_96,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,sem_confirmacao,volume_muito_leve,tp2.2_sl1.2_96,2.2,1.2,96,0.004929030818123015,0.0064765940888845686,-0.020436787151462132,-0.025059450383177917,1.4973678003410527,0.625,6.625,-0.005137203427940934,0.25,0.5,False
rank_directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.2_96,4,0,rank_directional_1h,pred_rank_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.003961248436756701,0.008699205194591275,-0.03185924309865018,-0.042348407512762476,inf,0.625,7.625,-0.005573462220612354,0.25,0.5,False
rank_directional_1h|sem_confirmacao|sem_filtro|tp2.0_sl1.2_96,4,1,rank_directional_1h,pred_rank_score_directional_1h,sem_confirmacao,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.003961248436756701,0.008699205194591275,-0.03185924309865018,-0.042348407512762476,inf,0.625,7.625,-0.005573462220612354,0.25,0.5,False
wfo_no4h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.2_96,4,0,wfo_no4h,pred_score_wfo_no4h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.0046309783187587356,0.006385583476581358,-0.0513547029748459,-0.058601268575476206,inf,0.75,7.875,-0.015255417447982344,0.25,0.5,False
wfo_no4h|sem_confirmacao|sem_filtro|tp2.0_sl1.2_96,4,0,wfo_no4h,pred_score_wfo_no4h,sem_confirmacao,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.0046309783187587356,0.006385583476581358,-0.0513547029748459,-0.058601268575476206,inf,0.75,7.875,-0.015255417447982344,0.25,0.5,False
wfo_no4h|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.0_96,4,0,wfo_no4h,pred_score_wfo_no4h,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.0_96,2.2,1.0,96,0.002144331705857927,0.006054665150509675,-0.04526031354855142,-0.04913331264890097,1.8532787163935733,0.75,8.0,-0.017474959185635228,0.25,0.5,False
wfo_no4h|sem_confirmacao|sem_filtro|tp2.2_sl1.0_96,4,0,wfo_no4h,pred_score_wfo_no4h,sem_confirmacao,sem_filtro,tp2.2_sl1.0_96,2.2,1.0,96,0.002144331705857927,0.006054665150509675,-0.04526031354855142,-0.04913331264890097,1.8532787163935733,0.75,8.0,-0.017474959185635228,0.25,0.5,False
wfo_no4h|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,wfo_no4h,pred_score_wfo_no4h,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.0029839768955072093,0.004367465324400577,-0.0513547029748459,-0.057497151930611334,1.745280638087284,0.625,6.875,-0.019734306798129098,0.25,0.5,False
wfo_no4h|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,4,0,wfo_no4h,pred_score_wfo_no4h,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.0029839768955072093,0.004367465324400577,-0.0513547029748459,-0.057497151930611334,1.745280638087284,0.625,6.875,-0.019734306798129098,0.25,0.5,False
rank_daytrade_1h_30m|exec_30m_dir_1h_minimo|sem_filtro|tp1.8_sl1.0_48,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,exec_30m_dir_1h_minimo,sem_filtro,tp1.8_sl1.0_48,1.8,1.0,48,0.00915921876688551,0.009836286624344132,-0.0007178101627730582,-0.02082642627922704,2.0635673997512294,0.875,7.0,0.01998834635679342,0.0,1.0,False
rank_daytrade_1h_30m|exec_30m_dir_1h_minimo|sem_filtro|tp1.8_sl1.0_72,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,exec_30m_dir_1h_minimo,sem_filtro,tp1.8_sl1.0_72,1.8,1.0,72,0.00915921876688551,0.009836286624344132,-0.0007178101627730582,-0.02082642627922704,2.0635673997512294,0.875,7.0,0.01998834635679342,0.0,1.0,False
rank_daytrade_1h_30m|sem_confirmacao|sem_filtro|tp1.8_sl1.0_48,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,sem_confirmacao,sem_filtro,tp1.8_sl1.0_48,1.8,1.0,48,0.00915921876688551,0.009836286624344132,-0.0007178101627730582,-0.02082642627922704,2.0635673997512294,0.875,7.0,0.01998834635679342,0.0,1.0,False
rank_daytrade_1h_30m|sem_confirmacao|sem_filtro|tp1.8_sl1.0_72,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,sem_confirmacao,sem_filtro,tp1.8_sl1.0_72,1.8,1.0,72,0.00915921876688551,0.009836286624344132,-0.0007178101627730582,-0.02082642627922704,2.0635673997512294,0.875,7.0,0.01998834635679342,0.0,1.0,False
rank_daytrade_1h_30m|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_48,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.00890912835413002,0.009626042101115284,-0.0029831261527020203,-0.01587493338754775,2.063103867704597,0.875,5.75,0.01869822979785148,0.0,1.0,False
rank_daytrade_1h_30m|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_72,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,0.00890912835413002,0.009626042101115284,-0.0029831261527020203,-0.01587493338754775,2.063103867704597,0.875,5.75,0.01869822979785148,0.0,1.0,False
rank_daytrade_1h_30m|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_48,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.00890912835413002,0.009626042101115284,-0.0029831261527020203,-0.01587493338754775,2.063103867704597,0.875,5.75,0.01869822979785148,0.0,1.0,False
rank_daytrade_1h_30m|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_72,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,0.00890912835413002,0.009626042101115284,-0.0029831261527020203,-0.01587493338754775,2.063103867704597,0.875,5.75,0.01869822979785148,0.0,1.0,False
rank_wfo_no4h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_48,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.008131450181534827,0.007026084508140934,-0.0030605634499819567,-0.015874933387547863,2.5691398446488125,0.75,5.25,0.018172201046421917,0.0,1.0,False
rank_wfo_no4h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_72,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,0.008131450181534827,0.007026084508140934,-0.0030605634499819567,-0.015874933387547863,2.5691398446488125,0.75,5.25,0.018172201046421917,0.0,1.0,False
rank_wfo_no4h|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_48,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.008131450181534827,0.007026084508140934,-0.0030605634499819567,-0.015874933387547863,2.5691398446488125,0.75,5.25,0.018172201046421917,0.0,1.0,False
rank_wfo_no4h|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_72,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,0.008131450181534827,0.007026084508140934,-0.0030605634499819567,-0.015874933387547863,2.5691398446488125,0.75,5.25,0.018172201046421917,0.0,1.0,False
wfo_exec_heavy|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_48,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.005211000585839204,0.0044469057439264215,0.00040616070166699103,-0.01587493338754764,1.5033478304713015,1.0,5.875,0.015347053601652241,0.0,1.0,False
